Prod,Temp,RH
0.25,25,90
0.2375,26,90
0.3125,26,90
0.3125,26,89
0.3375,26,89
0.2875,26,90
0.325,25,91
0.3,25,91
0.25,25,90
0.225,25,91
0.2375,25,92
0.2125,25,92
0.175,25,92
0.2,25,92
0.25,25,92
0.2125,25,92
0.2375,25,92
0.35,26,90
0.4375,27,86
0.4625,28,82
0.575,29,78
0.425,29,75
0.3875,27,83
0.325,29,76
0.325,30,71
0.3375,30,70
0.3125,30,69
0.275,31,67
0.35,28,71
0.1875,27,74
0.1875,27,73
0.2125,27,73
0.2625,27,74
0.2,27,78
0.2,26,81
0.2875,26,81
0.175,26,82
0.1625,26,83
0.15,26,83
0.2,26,83
0.175,26,82
0.2375,26,80
0.2375,27,76
0.2375,28,71
0.25,30,65
0.2,31,60
0.1875,31,59
0.1875,31,58
0.2125,32,58
0.2125,32,58
0.175,32,59
0.2,31,60
0.225,31,61
0.225,31,62
0.2625,30,63
0.1625,29,64
0.175,28,67
0.2625,26,80
0.25,25,88
0.25,25,87
0.175,25,89
0.1375,24,91
0.15,24,92
0.15,24,92
0.15,24,92
0.175,24,92
0.25,25,90
0.2625,26,87
0.25,27,80
0.2875,28,78
0.35,27,81
0.175,27,84
0.2625,27,84
0.2875,27,86
0.275,27,85
0.25,27,85
0.3,27,84
0.3,26,87
0.2625,26,89
0.35,26,86
0.2625,27,84
0.2875,27,81
0.175,27,78
0.1875,27,76
0.175,27,79
0.1625,26,80
0.15,26,79
0.1375,26,81
0.175,26,83
0.1875,26,82
0.2625,28,77
0.15,29,73
0.175,29,71
0.2125,29,71
0.2,28,79
0.2,29,75
0.1875,31,66
0.225,31,65
0.2125,30,68
0.175,29,72
0.15,29,74
0.1625,29,77
0.1625,28,78
0.1375,29,73
0.1875,29,70
0.1625,29,72
0.175,28,72
0.1375,28,74
0.1375,27,76
0.1625,27,78
0.1625,27,80
0.15,27,80
0.1625,27,79
0.175,27,80
0.1875,28,78
0.2,29,73
0.1875,30,69
0.1875,31,63
0.2125,32,62
0.175,32,60
0.15,32,60
0.225,32,59
0.175,32,59
0.1625,32,59
0.1875,31,64
0.175,29,71
0.1375,29,75
0.125,29,76
0.1625,29,76
0.1375,29,79
0.125,26,83
0.1,25,92
0.075,25,91
0.0875,25,91
0.1,25,91
0.125,25,91
0.1375,25,89
0.2125,26,89
0.175,27,82
0.275,29,70
0.2125,30,66
0.2125,31,61
0.175,32,56
0.1625,33,53
0.1625,34,52
0.2125,34,50
0.2125,33,55
0.375,31,64
0.4125,29,76
0.3625,27,87
0.4125,27,89
0.3625,28,85
0.2875,28,85
0.2625,27,84
0.1875,27,83
0.125,27,83
0.1375,26,84
0.15,26,85
0.1625,26,84
0.15,26,85
0.175,26,87
0.1875,26,87
0.15,27,84
0.15,28,78
0.1875,29,72
0.175,31,64
0.2125,31,62
0.2125,29,72
0.2625,29,73
0.3375,26,89
0.3375,26,89
0.25,25,92
0.2375,24,93
0.2,25,92
0.225,24,93
0.2,24,93
0.175,25,91
0.2625,25,91
0.275,25,91
0.2,25,91
0.1625,25,91
0.175,25,90
0.1375,25,91
0.1375,25,91
0.125,25,91
0.15,25,91
0.1375,25,90
0.125,26,88
0.125,27,83
0.15,28,74
0.1875,29,70
0.4,31,65
0.2125,31,63
0.1875,31,61
0.175,31,61
0.175,29,70
0.15,27,81
0.125,28,81
0.175,28,83
0.2375,27,83
0.3125,28,83
0.5,28,85
0.45,27,86
0.3625,27,86
0.375,27,87
0.3875,27,87
0.3125,27,89
0.2875,26,90
0.375,26,90
0.3625,26,90
0.4375,27,89
0.525,27,87
0.4375,28,84
0.3625,29,77
0.3375,30,75
0.2625,30,72
0.25,29,77
0.3,29,77
0.3,29,75
0.3375,29,75
0.375,30,72
0.375,30,69
0.4125,29,71
0.4,29,75
0.4625,28,77
0.4125,28,81
0.4375,27,84
0.3375,27,84
0.375,27,84
0.35,26,85
0.3625,26,86
0.4,26,87
0.5,26,86
0.475,26,87
0.475,26,86
0.55,27,85
0.4125,28,83
0.4125,29,76
0.4125,30,69
0.2625,31,63
0.1875,32,61
0.2375,32,59
0.2375,32,58
0.2125,28,75
0.25,26,78
0.2375,26,80
0.225,27,78
0.225,27,77
0.25,26,83
0.25,25,90
0.2375,26,89
0.2625,26,89
0.2125,26,91
0.225,25,91
0.2125,25,91
0.225,25,92
0.225,25,92
0.275,25,92
0.3,25,91
0.3,26,88
0.325,27,83
0.2625,29,75
0.225,30,70
0.2625,31,64
0.2375,32,59
0.2125,33,56
0.1625,34,51
0.1875,31,60
0.225,24,89
0.1625,24,90
0.1375,24,91
0.1625,24,89
0.175,25,90
0.1875,25,89
0.2625,25,89
0.2125,25,89
0.2125,25,90
0.2375,25,90
0.2125,25,91
0.2625,25,92
0.1875,25,91
0.175,25,91
0.2,25,91
0.2,26,89
0.25,27,83
0.2375,28,80
0.275,28,76
0.25,29,69
0.15,30,61
0.1375,31,58
0.1125,33,52
0.15,33,45
0.1125,32,51
0.1375,31,53
0.175,31,56
0.1375,30,60
0.15,29,66
0.2,28,75
0.2,28,75
0.2,27,76
0.175,26,80
0.125,27,79
0.15,27,79
0.15,27,80
0.125,26,81
0.1125,27,83
0.15,27,84
0.175,27,84
0.1625,28,79
0.1625,30,71
0.175,31,62
0.15,33,56
0.15,33,55
0.1375,32,57
0.1375,31,60
0.1875,29,68
0.225,30,67
0.2125,30,66
0.225,27,79
0.15,24,92
0.125,25,88
0.2125,25,87
0.1875,25,86
